word,article,plural,translation,example sentence normal,example sentence plural
Hotel,das,-s,hotel,Das Hotel liegt direkt am Strand. (The hotel is right by the beach.),Die Hotels an der Küste sind oft ausgebucht. (The hotels on the coast are often fully booked.)
Hotelchef,der,-s,hotel manager,Der Hotelchef begrüßt jeden Gast persönlich. (The hotel manager greets every guest personally.),Die Hotelchefs achten auf guten Service. (The hotel managers focus on good service.)
Hotelchefin,die,-nen,female hotel manager,Die Hotelchefin war sehr freundlich. (The female hotel manager was very friendly.),Die Hotelchefinnen organisieren oft das Personal. (The female hotel managers often organize the staff.)
Hühnersuppe,die,-n,chicken soup,Eine Hühnersuppe ist sehr wohltuend. (A chicken soup is very soothing.),Die Hühnersuppen wurden serviert. (The chicken soups were served.)
Hund,der,-e,dog,Der Hund bellt laut. (The dog barks loudly.),Die Hunde spielen im Park. (The dogs play in the park.)
hundert,-,-,hundred,Er hat hundert Freunde. (He has a hundred friends.),
Hunger,der,-,hunger,Ich habe großen Hunger. (I am very hungry.),
hungrig,-,-,hungry,Ich bin hungrig. (I am hungry.),
hurra,-,-,hooray,Hurra, wir haben das Spiel gewonnen! (Hooray, we won the game!),
husten,-,-,to cough,Ich huste viel. (I cough a lot.),
Hustensaft,der,-e,cough syrup,Der Hustensaft hilft gut. (The cough syrup helps well.),Die Hustensäfte sind im Schrank. (The cough syrups are in the cabinet.)
Hut,der,-e,hat,Dein Hut sieht gut aus. (Your hat looks good.),Die Hüte sind modisch. (The hats are fashionable.)
ich,-,-,I,Ich ziehe meine Jacke an, weil es kalt ist. (I’m putting on my jacket because it’s cold.),
ideal,-,-,ideal,Das ist die ideale Lösung. (That is the ideal solution.),
Idee,die,-n,idea,Die Idee finde ich doof. (I think the idea is stupid.),Die Ideen wurden diskutiert. (The ideas were discussed.)
ihn,-,-,him,Ich sehe ihn morgen. (I’ll see him tomorrow.),
Ihnen,-,-,you (formal),Ich danke Ihnen für Ihre Hilfe. (I thank you for your help.),
"Ihr, Ihre",-,-,your (formal),Ist das Ihr Stift? (Is that your pen?),Ihre Vorschläge sind willkommen. (Your suggestions are welcome.)
ihr (1),-,-,you (plural),Seht ihr das Auto? (Do you see the car?),
ihr (2),-,-,their,Das ist ihr Haus. (That is their house.),
immer,-,-,always,Ich bin immer müde. (I am always tired.),
Imperativ,der,-e,imperative,Der Imperativ bildet klare Befehle. (The imperative forms clear commands.),Die Imperative im Unterricht sind wichtig. (The imperatives in class are important.)
in (1) (+ D.),-,-,in (location),Ich bin in der Schule. (I am in the school.),
in (2) (+ D.),-,-,"in (city, country)",Ich wohne in Berlin. (I live in Berlin.),
in (3) (+ D.),-,-,in (time),Wir treffen uns in einer Stunde. (We meet in an hour.),
Individualist,der,-en,individualist,Ein Individualist folgt seinen eigenen Ideen. (An individualist follows their own ideas.),Die Individualisten in der Gruppe waren sehr kreativ. (The individualists in the group were very creative.)
Individualistin,die,-nen,female individualist,Die Individualistin war unabhängig und stark. (The female individualist was independent and strong.),Die Individualistinnen in unserer Klasse haben neue Vorschläge gemacht. (The female individualists in our class made new suggestions.)
individuell,-,-,individual,Jede Person hat individuelle Bedürfnisse. (Every person has individual needs.),
Indonesisch,-,-,Indonesian,Ich spreche etwas Indonesisch. (I speak some Indonesian.),
Infinitiv,der,-e,infinitive,Der Infinitiv dieses Verbs ist „gehen“. (The infinitive of this verb is “gehen”.),Die Infinitive stehen oft am Satzende. (Infinitives often stand at the end of the sentence.)
Informatiker,der,-,computer scientist,Der Informatiker programmiert eine neue Software. (The computer scientist is programming new software.),
Informatikerin,die,-nen,female computer scientist,Die Informatikerin arbeitet an einem großen Projekt. (The female computer scientist is working on a big project.),Die Informatikerinnen im Team sind sehr kompetent. (The female computer scientists in the team are very competent.)
Information,die,-en,information,Ich suche Informationen zum Thema. (I’m looking for information on the topic.),Die Informationen sind eindeutig. (The information is clear.)
informell,-,-,informal,Der Ton ist sehr informell. (The tone is very informal.),
Infotext,der,-e,information text,Der Infotext erklärt die Regeln. (The information text explains the rules.),Die Infotexte in diesem Buch sind sehr verständlich. (The information texts in this book are very clear.)
Ingenieur,der,-e,engineer,Der Ingenieur plant ein neues Gebäude. (The engineer is planning a new building.),Die Ingenieure arbeiten an der Brücke. (The engineers are working on the bridge.)
Ingenieurin,die,-nen,female engineer,Die Ingenieurin entwirft neue Maschinen. (The female engineer designs new machines.),Die Ingenieurinnen in dieser Firma sind sehr erfolgreich. (The female engineers in this company are very successful.)
inhalieren,-,-,to inhale,Der Patient muss das Medikament inhalieren. (The patient must inhale the medication.),
inoffiziell,-,-,unofficial,Der Bericht ist noch inoffiziell. (The report is still unofficial.),
Insel,die,-n,island,Die Insel ist klein. (The island is small.),Die Inseln in der Region sind wunderschön. (The islands in the region are beautiful.)
insgesamt,-,-,altogether,Insgesamt haben wir zehn neue Mitglieder. (Altogether we have ten new members.),
interessant,-,-,interesting,Das Buch ist interessant. (The book is interesting.),
interessieren,-,-,to interest,Das Thema interessiert mich. (The topic interests me.),
international,-,-,international,Die Firma ist international tätig. (The company operates internationally.),
Internet,das,-,internet,Ich arbeite im Internet. (I work on the internet.),
Jacke,die,-n,jacket,Ich ziehe meine Jacke an. (I put on my jacket.),Die Jacken hängen im Flur. (The jackets hang in the hallway.)
Jahr (1),das,-e,year (duration),Das Projekt dauert ein Jahr. (The project lasts one year.),Die Jahre vergehen schnell. (The years pass quickly.)
Jahr (2),das,-e,year (age),Er feiert sein zwanzigstes Jahr. (He is turning twenty.),
Jahrestreffen,das,-,annual meeting,Das Jahrestreffen findet im Mai statt. (The annual meeting takes place in May.),
Jahreszeit,die,-en,season,Der Winter ist meine liebste Jahreszeit. (Winter is my favorite season.),Die Jahreszeiten wechseln sich ab. (The seasons alternate.)
Januar,der,-,January,Der Januar ist oft sehr kalt. (January is often very cold.),
Japan,-,-,Japan,Ich reise nach Japan. (I travel to Japan.),
Japanisch,-,-,Japanese,Ich lerne Japanisch. (I’m learning Japanese.),
Jeans,die,-,jeans,Ich trage heute Jeans. (I’m wearing jeans today.),
jede, jeder,-,-,"each, every","Jeder Tag bringt neue Chancen. (Each day brings new opportunities.)",
jemand,-,-,someone,Jemand hat an der Tür geklopft. (Someone knocked at the door.),
jetzt,-,-,now,Jetzt beginnt der Film. (Now the movie begins.),
Job,der,-s,job,Der Job macht mir Spaß. (The job is fun for me.),
Job-Portal,das,-e,job portal,Ich suche auf einem Job-Portal. (I’m searching on a job portal.),
joggen,-,-,to jog,Ich jogge jeden Morgen. (I jog every morning.),
Joghurt,der/das,-s,yogurt,Ich esse einen Joghurt. (I eat a yogurt.),Die Joghurts sind im Kühlschrank. (The yogurts are in the fridge.)
Journalist,der,-en,journalist,Der Journalist schreibt einen Artikel. (The journalist is writing an article.),Viele Journalisten arbeiten für Zeitungen. (Many journalists work for newspapers.)
Journalistin,die,-nen,female journalist,Die Journalistin berichtet live vom Ereignis. (The female journalist reports live from the event.),Die Journalistinnen bereiten den Bericht vor. (The female journalists are preparing the report.)
Jugendherberge,die,-n,youth hostel,Ich übernachte in einer Jugendherberge. (I’m staying in a youth hostel.),
Jugendliche,der/die,-n,youth,Ein Jugendlicher liest ein Buch. (A youth is reading a book.),Viele Jugendliche nutzen soziale Medien. (Many youths use social media.)
Juli,der,-,July,Im Juli machen wir Urlaub. (We’re going on vacation in July.),
jung,-,-,young,Das Kind ist noch jung. (The child is still young.),
Junge,der,-n,boy,Der Junge heißt Lukas. (The boy is named Lukas.),Die Jungen spielen im Garten. (The boys play in the garden.)
Juni,der,-,June,Im Juni blühen viele Blumen. (Many flowers bloom in June.),
Jurist,der,-en,lawyer,Der Jurist arbeitet in einer Kanzlei. (The lawyer works in a law firm.),Die Juristen treffen sich zur Diskussion. (The lawyers meet for discussion.)
Juristin,die,-nen,female lawyer,Die Juristin verteidigt ihren Mandanten. (The female lawyer defends her client.),Die Juristinnen schreiben neue Gesetze. (The female lawyers write new laws.)
kaufen,-,-,to buy,Ich möchte ein neues Buch kaufen. (I want to buy a new book.),
Kaufmann,der,-"er,merchant,"Der Kaufmann verkauft Lebensmittel. (The merchant sells groceries.)","Die Kaufmänner sind sehr freundlich. (The merchants are very friendly.)"
Kaufhaus,das,-er,department store,Das Kaufhaus hat heute Sonderangebote. (The department store has special offers today.),Die Kaufhäuser schließen spät. (The department stores close late.)
kaum,–,–,hardly,"Ich kann kaum warten. (I can hardly wait.)",
kein, keine,–,no, none,"Kein Mensch ist perfekt. (No person is perfect.)","Keine Fehler wurden gemeldet. (No mistakes were reported.)"
Keks,der/das,-e,cookie,"Ich esse einen Keks. (I’m eating a cookie.)","Die Kekse schmecken lecker. (The cookies taste delicious.)"
Kellner,der,–,waiter,"Der Kellner bringt das Essen an den Tisch. (The waiter brings the food to the table.)","Die Kellner bringen heute das Frühstück. (The waiters are bringing breakfast today.)"
Kellnerin,die,-nen,waitress,"Die Kellnerin nimmt unsere Bestellung auf. (The waitress takes our order.)","Die Kellnerinnen servieren am Abend Menü. (The waitresses serve the menu in the evening.)"
kennen,–,–,to know (a person),"Ich kenne ihn seit der Schulzeit. (I’ve known him since school.)",
kennen lernen,–,–,to get to know,"Ich möchte dich besser kennen lernen. (I’d like to get to know you better.)",
Kilo,das,-s,kilogram (kg),"Ich habe zwei Kilo Äpfel gekauft. (I bought two kilograms of apples.)",
Kilogramm,das,-s,kilogram (kg),"Ein Kilogramm wiegt eintausend Gramm. (One kilogram weighs one thousand grams.)",
Kilometer,der,–,kilometer,"Wir sind zehn Kilometer gelaufen. (We walked ten kilometers.)",
Kirche,die,-n,church,"Die Kirche ist sehr alt. (The church is very old.)","Die Kirchen sind am Sonntag voll. (The churches are full on Sunday.)"
Kiosk,der,-e,kiosk,"Der Kiosk verkauft Zeitungen. (The kiosk sells newspapers.)","Die Kioske sind in der Stadt verteilt. (The kiosks are distributed throughout the city.)"
Kissen,das,-,pillow,"Das Kissen ist weich. (The pillow is soft.)","Die Kissen sind auf dem Sofa. (The pillows are on the sofa.)"
Kiste,die,-n,box,"Die Kiste ist schwer. (The box is heavy.)","Die Kisten sind im Lager. (The boxes are in the warehouse.)"
Klassenzimmer,das,-,classroom,"Das Klassenzimmer ist groß. (The classroom is big.)","Die Klassenzimmer sind gut ausgestattet. (The classrooms are well-equipped.)"
Klasse,die,-n,class,"Die Klasse ist sehr nett. (The class is very nice.)","Die Klassen sind unterschiedlich groß. (The classes are of different sizes.)"
Klavier,das,-e,piano,"Ich spiele Klavier. (I play the piano.)","Die Klaviere sind gestimmt. (The pianos are tuned.)"
Kleidung,die,-en,clothing,"Die Kleidung ist modisch. (The clothing is fashionable.)","Die Kleidungen sind im Angebot. (The clothes are on sale.)"
Kleidungstück,das,-e,piece of clothing,"Das Kleidungstück ist neu. (The piece of clothing is new.)","Die Kleidungstücke sind im Schaufenster. (The pieces of clothing are in the shop window.)"
Klein,-,-,small,"Das Kind ist klein. (The child is small.)",
Kleingeld,das,-,small change,"Ich habe kein Kleingeld. (I have no small change.)","Die Kleingelder sind in der Schublade. (The small change is in the drawer.)"
Kleinigkeit,die,-en,"small thing, trifle","Eine Kleinigkeit kann viel bewirken. (A small thing can make a big difference.)","Die Kleinigkeiten im Leben sind wichtig. (The small things in life are important.)"
Klempner,der,-,"plumber, pipe fitter","Der Klempner repariert die Rohre. (The plumber repairs the pipes.)","Die Klempner sind sehr gefragt. (The plumbers are in high demand.)"
Klempnerin,die,-nen,female plumber,"Die Klempnerin arbeitet an der Heizung. (The plumber is working on the heater.)","Die Klempnerinnen sind sehr kompetent (The plumbers are very competent)"
Konzerthaus,das,-"er,concert hall,"Das Konzerthaus ist sehr bekannt. (The concert hall is very well-known.)","Die Konzerthäuser sind oft ausverkauft. (The concert halls are often sold out.)"
Konferenz,die,-en,conference,"Die Konferenz findet nächste Woche statt. (The conference takes place next week.)","Die Konferenzen sind sehr informativ. (The conferences are very informative.)"
Konferenzraum,der,-"e,conference room,"Der Konferenzraum ist reserviert. (The conference room is reserved.)","Die Konferenzräume sind modern ausgestattet. (The conference rooms are modernly equipped.)"
Konjugation,die,-en,conjugation,"Die Konjugation der Verben ist wichtig. (The conjugation of the verbs is important.)","Die Konjugationen sind unterschiedlich. (The conjugations are different.)"
Konjugationstabelle,die,-n,conjugation table,"Die Konjugationstabelle hilft beim Lernen. (The conjugation table helps with learning.)","Die Konjugationstabellen sind im Buch. (The conjugation tables are in the book.)"
Konjunktiv,der,-e,subjunctive,"Der Konjunktiv wird in der indirekten Rede verwendet. (The subjunctive is used in indirect speech.)","Die Konjunktive sind wichtig für den Ausdruck. (The subjunctives are important for expression.)"
Konjunktiv II,der,-e,subjunctive II,"Der Konjunktiv II wird für Wünsche verwendet. (The subjunctive II is used for wishes.)","Die Konjunktiv II Formen sind oft unregelmäßig. (The subjunctive II forms are often irregular.)"
Konjunktiv Präsens,der,-e,present subjunctive,"Der Konjunktiv Präsens wird in der indirekten Rede verwendet. (The present subjunctive is used in indirect speech.)","Die Konjunktiv Präsens Formen sind wichtig für den Ausdruck. (The present subjunctive forms are important for expression.)"
Konjunktiv Vergangenheit,der,-e,past subjunctive,"Der Konjunktiv Vergangenheit wird für Wünsche verwendet. (The past subjunctive is used for wishes.)","Die Konjunktiv Vergangenheit Formen sind oft unregelmäßig. (The past subjunctive forms are often irregular.)"
Konjunktiv Plusquamperfekt,der,-e,pluperfect subjunctive,"Der Konjunktiv Plusquamperfekt wird für Wünsche verwendet. (The pluperfect subjunctive is used for wishes.)","Die Konjunktiv Plusquamperfekt Formen sind oft unregelmäßig. (The pluperfect subjunctive forms are often irregular.)"
